Nodes;Addjested Nodes
392979620;{1744248388,392979617,1744195240,}
392979621;{1248462664,1743494242,4034451697,}
392979627;{1781833952,392979628,}
392979628;{392979629,392979627,}
392979629;{392979628,392979630,1781833939,}
392979630;{392979629,392979631,}
392979631;{392979630,392979632,}
392979632;{392979631,392979958,}
392979634;{1744195210,392979635,}
392979635;{392979634,392979636,}
392979636;{392979635,392979637,}
392979637;{4474523612,392979636,}
392979638;{4474523613,392979639,}
392979639;{392979638,1781833952,}
392979642;{1737496222,1736000598,}
392979644;{2371482289,536798251,}
392979645;{536798251,1737496070,521560572,}
392979649;{1187612459,1743494421,}
392979651;{2452432598,392979939,392979996,1744450692,}
392979657;{1736446095,392979658,}
392979658;{392979657,1736446069,2596542708,}
392979663;{1737426987,392979666,1736446111,}
392979664;{1736446104,}
392979666;{1736446140,392979663,}
392979668;{1737426982,536808545,}
392979672;{392979673,392979675,2836469010,}
392979673;{1745321928,392979672,1745321929,}
392979675;{392979672,416624996,392979682,}
392979676;{2293801611,1783547189,1783547183,}
392979682;{1783547224,1745321928,392979675,}
392979683;{1743494112,2667601717,}
392979686;{2445875328,392979958,}
392979692;{521560572,521560574,}
392979697;{521560576,1737426765,1462977565,}
392979702;{1783877290,1783877315,1783877310,1783877301,}
392979710;{392979918,1698139627,}
392979711;{1698139627,1735982979,392979812,}
392979715;{2141095938,1743494556,}
392979716;{392979722,2459063578,1743494149,}
392979718;{1783547602,392979777,1783547618,}
392979721;{2836469012,392979722,}
392979722;{2459063576,392979721,392979716,}
392979723;{392979786,1783547590,392979728,}
392979726;{1383927407,1783547573,}
392979727;{392979728,1383927407,}
392979728;{392979723,392979727,}
392979733;{1743494559,2476354513,3099866873,}
392979734;{1735983047,1291918078,1291917968,}
392979737;{1401766298,470948051,}
392979742;{470948051,1820299961,1401766295,}
392979748;{2280669794,392979750,1286570728,}
392979750;{392979748,4344891595,4344891593,}
392979753;{4344891595,1252607808,}
